30,08,01,06,32,35,06
34,36,20,15,22,10,05
36,37,19,23,38,12,06
23,26,14,30,25,31,03
05,18,33,34,37,12,02
02,11,07,10,19,33,01
03,37,18,24,10,29,07
30,18,37,29,27,21,04
09,12,17,33,18,27,04
33,23,02,25,03,27,01
35,10,22,05,17,37,05
36,16,11,38,13,14,05
30,17,05,23,14,20,06
21,01,31,11,05,16,08
16,25,37,23,06,03,07
08,01,09,36,02,22,05
27,14,12,17,01,24,03
07,34,13,23,36,32,03
17,09,02,35,20,38,07
04,26,17,14,01,05,08
06,07,10,21,27,01,05
14,18,11,34,21,04,02
20,24,07,19,04,30,01
13,15,29,32,11,27,03
19,16,11,14,34,07,05
28,16,19,17,24,02,05
36,32,31,29,07,35,07
23,06,01,28,34,12,02
18,12,09,28,16,29,07
08,02,15,19,22,29,04
19,24,05,14,21,10,05
04,30,19,28,03,07,08
36,38,13,30,26,12,08
12,38,06,15,24,07,03
30,01,15,33,12,10,06
22,33,08,10,18,25,07
33,31,01,08,24,21,08
03,11,12,27,35,32,02
37,32,02,29,06,28,04
36,38,27,22,26,08,08
29,23,04,05,18,08,02
06,21,35,03,16,11,02
14,22,11,30,05,09,08
05,24,10,21,12,01,08
38,06,15,22,20,04,07
27,08,28,33,06,14,01
24,34,32,27,03,12,04
24,29,26,32,38,01,07
29,10,01,07,14,30,04
35,16,27,36,30,15,02
28,24,22,15,36,29,02
35,03,29,06,17,04,07
24,01,22,10,26,17,07
16,18,02,04,29,13,05
30,05,03,10,23,29,02
15,08,25,09,03,16,05
01,14,36,11,22,05,01
10,05,22,38,08,26,02
03,26,29,27,08,22,05
03,37,31,22,15,28,08
19,30,06,10,12,32,05
37,03,26,15,23,09,02
36,09,01,32,29,19,05
16,22,31,13,32,14,03
31,19,35,02,03,32,01
32,24,21,38,37,35,05
06,01,35,20,32,14,05
12,16,10,19,32,26,05
16,28,02,24,05,37,02
35,20,12,32,15,29,05
03,14,25,22,09,12,02
11,08,02,34,26,15,06
04,03,31,16,10,14,04
09,16,35,37,24,34,05
15,36,11,17,02,30,01
15,06,01,19,10,34,07
04,37,01,06,12,35,06
33,38,31,30,07,01,05
30,33,34,10,09,07,08
28,27,02,36,19,07,07
19,13,11,28,29,20,06
15,25,23,30,03,22,05
29,16,36,22,13,24,05
18,09,07,24,21,37,06
23,16,30,20,27,14,08
29,21,26,10,37,04,03
24,07,28,11,05,12,08
09,03,06,21,15,30,05
12,05,27,06,33,29,01
08,07,14,24,34,31,08
12,16,08,36,27,33,03
10,21,35,33,31,27,07
32,37,07,33,04,17,07
07,31,33,13,22,23,01
36,06,37,26,34,35,03
17,34,08,09,22,37,08
30,09,03,32,37,16,05
32,38,34,37,21,14,03
22,19,25,23,29,38,01
01,02,07,11,13,24,03
22,24,33,37,12,15,06
36,08,35,07,04,14,03
24,15,37,07,04,11,07
09,13,26,06,07,25,04
38,04,21,32,19,15,06
09,30,01,28,21,35,07
23,20,25,01,08,05,08
12,36,30,01,02,06,03
36,03,34,33,24,19,01
23,22,37,08,11,20,06
25,22,02,06,13,18,06
06,15,31,20,19,34,02
27,14,18,28,12,34,05
08,04,16,27,02,07,06
20,23,05,22,30,19,02
03,07,28,20,17,29,05
26,18,05,08,09,34,08
14,01,28,34,17,04,05
35,38,09,02,17,04,05
06,31,37,28,03,05,06
